Date,AB01,AB02,AB03,AB04,AB05,AB06,AB07,AB08,AB09,AB10,SUM 
,,,,,,,,,,,
1-Jan-09,0,0,2,0,2,1,1,9,6,17,38
2-Jan-09,0,0,2,0,5,5,2,8,1,8,31
3-Jan-09,0,1,4,0,9,10,5,13,11,15,68
4-Jan-09,2,0,1,0,5,1,0,6,3,5,23
5-Jan-09,0,0,0,0,1,1,0,6,7,8,23
6-Jan-09,0,0,1,0,0,3,0,4,5,11,24
7-Jan-09,0,3,0,0,1,0,0,6,2,4,16
8-Jan-09,0,0,3,0,3,1,2,17,18,20,64
9-Jan-09,0,2,8,0,4,3,0,16,19,16,68
10-Jan-09,0,2,2,1,0,0,1,3,3,15,27
11-Jan-09,0,5,2,14,2,5,11,13,0,15,67
12-Jan-09,0,1,35,10,21,8,12,12,27,106,232
13-Jan-09,0,0,1,8,17,18,23,20,17,111,215
14-Jan-09,1,2,46,89,38,28,22,55,50,211,542
15-Jan-09,0,0,70,124,4,0,8,29,71,170,476
16-Jan-09,0,0,79,74,7,1,1,24,16,28,230
17-Jan-09,1,1,1,18,3,0,5,11,17,14,71
18-Jan-09,0,0,5,8,0,0,0,6,2,10,31
19-Jan-09,1,0,1,8,6,5,10,13,15,14,73
20-Jan-09,0,0,1,9,4,6,12,16,14,17,79
21-Jan-09,1,0,7,8,3,0,0,10,9,11,49
22-Jan-09,0,0,5,17,1,5,3,7,4,18,60
23-Jan-09,0,0,1,5,0,2,12,10,9,8,47
24-Jan-09,0,0,4,11,2,2,0,9,4,13,45
25-Jan-09,1,0,2,9,2,0,0,7,3,7,31
26-Jan-09,0,0,0,12,2,1,1,10,8,14,48
27-Jan-09,0,5,2,9,5,7,6,8,10,11,63
28-Jan-09,0,0,2,5,10,6,13,10,7,10,63
29-Jan-09,0,0,1,16,14,5,13,18,18,22,107
30-Jan-09,0,0,1,2,1,1,0,3,6,13,27
31-Jan-09,1,0,3,14,6,4,17,14,8,18,85
1-Feb-09,0,0,3,5,0,3,3,8,6,19,47
2-Feb-09,0,0,0,0,0,2,1,1,3,16,23
3-Feb-09,2,0,3,8,5,5,6,14,13,23,79
4-Feb-09,5,0,4,16,3,3,10,28,16,17,102
5-Feb-09,2,1,42,58,41,4,4,23,14,14,203
6-Feb-09,0,1,31,74,42,94,115,79,51,187,674
7-Feb-09,3,0,32,59,28,37,5,105,52,84,405
8-Feb-09,12,1,32,122,49,28,3,51,67,163,528
9-Feb-09,1,9,17,17,51,19,16,18,16,11,175
10-Feb-09,0,2,8,8,12,20,18,21,20,21,130
